12	0.068993	512
12	0.056751	4385
12	0.055577	1398
12	0.022786	592
12	0.017740	4238
12	0.016776	4615
12	0.016749	896
12	0.015792	1663
12	0.014015	4491
12	0.013504	21
12	0.013062	301
12	0.012952	4044
12	0.012245	4642
12	0.011461	10638
12	0.010185	1686
12	0.010139	3240
12	0.007566	963
12	0.005929	686
12	0.005827	4271
12	0.005303	4466
12	0.004596	1497
12	0.004490	4285
12	0.004324	381
12	0.004149	4249
12	0.004118	167
12	0.003923	690
12	0.003622	1161
12	0.003602	10654
12	0.003166	1744
12	0.002999	591
